"sequenceNumber","resultNumber","yourId","fullAddress","intersectionName","score","matchPrecision","precisionPoints","faults","siteName","unitDesignator","unitNumber","unitNumberSuffix","civicNumber","civicNumberSuffix","streetName","streetType","isStreetTypePrefix","streetDirection","isStreetDirectionPrefix","streetQualifier","localityName","localityType","electoralArea","provinceCode","location","locationPositionalAccuracy","locationDescriptor","siteID","blockID","intersectionID","fullSiteDescriptor","accessNotes","siteStatus","siteRetireDate","changeDate","isOfficial","degree","executionTime","sid"
1,1,,"1795 Venables St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1795",,"Venables","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1213437 477815)","high","parcelPoint","2b0e4104-06a9-4398-99bd-422c9a1ef71b",476272,,,"""","active","9999-12-31","2025-02-07","true",,6.721,1234510
2,1,,"1684 W 2nd Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1684",,"2nd","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208080 476770)","high","parcelPoint","05bda3e9-eb5c-456a-903c-6ce850b00fbf",104913,,,"""","active","9999-12-31","2025-02-07","true",,78.241,4468535
3,1,,"1014 Homer St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1014",,"Homer","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209674 477652)","high","parcelPoint","14dee771-d164-44cc-ba3a-faef7d1ccd47",106381,,,"""","active","9999-12-31","2025-02-07","true",,16.518,4062562
4,1,,"1795 Venables St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1795",,"Venables","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1213437 477815)","high","parcelPoint","2b0e4104-06a9-4398-99bd-422c9a1ef71b",476272,,,"""","active","9999-12-31","2025-02-07","true",,6.242,1234510
5,1,,"1535 W 3rd Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1535",,"3rd","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208299 476731)","high","parcelPoint","fb56559b-2188-48fd-9b86-236de1adb194",2463255,,,"""","active","9999-12-31","2025-02-07","true",,111.565,3149927
6,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,38.537,
7,1,,"675 W Hastings St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"675",,"Hastings","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210143 478619)","high","parcelPoint","3c8fcc80-05d7-40a2-b669-a1bf896fb938",100373,,,"""","active","9999-12-31","2025-02-07","true",,32.19,3357007
8,1,,"8038 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"8038",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1208531 470472)","high","parcelPoint","b9f70531-876e-4f76-86e8-9a08f1fd35ef",111621,,,"""","active","9999-12-31","2025-02-07","true",,52.435,4096157
9,1,,"6083 McKay Ave, Burnaby, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"6083",,"McKay","Ave","false",,"false",,"Burnaby","City",,"BC","SRID=3005;POINT(1218299 472705)","high","parcelPoint","21de007a-f59a-4633-8b53-de7a0740e4a0",458423,,,"""","active","9999-12-31","2025-02-07","true",,8.358,1490755
10,1,,"1018 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1018",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209464 477864)","high","parcelPoint","426e068a-10a5-4deb-9670-75a8f1fe4978",111568,,,"""","active","9999-12-31","2025-02-07","true",,51.245,4462071
11,1,,"6083 McKay Ave, Burnaby, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"6083",,"McKay","Ave","false",,"false",,"Burnaby","City",,"BC","SRID=3005;POINT(1218299 472705)","high","parcelPoint","21de007a-f59a-4633-8b53-de7a0740e4a0",458423,,,"""","active","9999-12-31","2025-02-07","true",,8.559,1490755
12,1,,"409 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"409",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210053 478616)","high","parcelPoint","fe0ddd13-0138-4ddd-a14c-51354a23a58b",100306,,,"""","active","9999-12-31","2025-02-07","true",,59.544,4429644
13,1,,"Seymour Arm Main FSR, St. Ives, BC",,59,"STREET",78,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_TYPE.notMatched:3, CIVIC_NUMBER.notInAnyBlock:1, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,,,"Seymour Arm Main","FSR","false",,"false",,"St. Ives","Community","CSRD Electoral Area F","BC","SRID=3005;POINT(1485035.16 693247.5)","coarse","streetPoint",,,,,,"active",,,"true",,12.041,
14,1,,"Seymour Arm Main FSR, St. Ives, BC",,59,"STREET",78,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_TYPE.notMatched:3, CIVIC_NUMBER.notInAnyBlock:1, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,,,"Seymour Arm Main","FSR","false",,"false",,"St. Ives","Community","CSRD Electoral Area F","BC","SRID=3005;POINT(1485035.16 693247.5)","coarse","streetPoint",,,,,,"active",,,"true",,11.843,
15,1,,"229 Carrall St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,"229",,"Carrall","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210792 478368)","high","parcelPoint","129c1115-485e-45cf-a8d2-c8a6845b049d",275338,,,"""","active","9999-12-31","2025-02-07","true",,57.282,3622853
16,1,,"1018 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1018",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209464 477864)","high","parcelPoint","426e068a-10a5-4deb-9670-75a8f1fe4978",111568,,,"""","active","9999-12-31","2025-02-07","true",,50.946,4462071
17,1,,"409 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"409",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210053 478616)","high","parcelPoint","fe0ddd13-0138-4ddd-a14c-51354a23a58b",100306,,,"""","active","9999-12-31","2025-02-07","true",,58.702,4429644
18,1,,"409 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"409",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210053 478616)","high","parcelPoint","fe0ddd13-0138-4ddd-a14c-51354a23a58b",100306,,,"""","active","9999-12-31","2025-02-07","true",,65.339,4429644
19,1,,"111 E Eighth Ave, New Westminster, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"111",,"Eighth","Ave","false","E","true",,"New Westminster","City",,"BC","SRID=3005;POINT(1225378 472541)","high","parcelPoint","c9f3b583-ad39-42fb-9dce-1873e93b5652",1213,,,"""","active","9999-12-31","2025-02-07","true",,70.539,3199188
20,1,,"675 W Hastings St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"675",,"Hastings","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210143 478619)","high","parcelPoint","3c8fcc80-05d7-40a2-b669-a1bf896fb938",100373,,,"""","active","9999-12-31","2025-02-07","true",,32.73,3357007
21,1,,"1285 W Pender St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1285",,"Pender","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1209295 478999)","high","parcelPoint","dddac4cb-29b8-49c5-af87-1bc7b193534b",103012,,,"""","active","9999-12-31","2025-02-07","true",,202.743,4276177
22,1,,"111 E Eighth Ave, New Westminster, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"111",,"Eighth","Ave","false","E","true",,"New Westminster","City",,"BC","SRID=3005;POINT(1225378 472541)","high","parcelPoint","c9f3b583-ad39-42fb-9dce-1873e93b5652",1213,,,"""","active","9999-12-31","2025-02-07","true",,67.104,3199188
23,1,,"1225 Robson St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1225",,"Robson","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209130 478706)","high","parcelPoint","0373080e-616a-4b9f-8d79-783f51d4694a",2523206,,,"""","active","9999-12-31","2025-02-07","true",,72.098,3539802
24,1,,"8368 Alexandra Rd, Richmond, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"8368",,"Alexandra","Rd","false",,"false",,"Richmond","City",,"BC","SRID=3005;POINT(1209324 466631)","high","parcelPoint","61307257-a608-4975-89ba-9a34fd8ca6e4",127570,,,"""","active","9999-12-31","2025-02-07","true",,33.114,2590902
25,1,,"Seymour Arm Main FSR, St. Ives, BC",,59,"STREET",78,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_TYPE.notMatched:3, CIVIC_NUMBER.notInAnyBlock:1, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,,,"Seymour Arm Main","FSR","false",,"false",,"St. Ives","Community","CSRD Electoral Area F","BC","SRID=3005;POINT(1485035.16 693247.5)","coarse","streetPoint",,,,,,"active",,,"true",,12.46,
26,1,,"8038 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"8038",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1208531 470472)","high","parcelPoint","b9f70531-876e-4f76-86e8-9a08f1fd35ef",111621,,,"""","active","9999-12-31","2025-02-07","true",,53.792,4096157
27,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,23.9,
28,1,,"718 Drake St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"718",,"Drake","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209093 477550)","high","parcelPoint","4b8a8814-6ca8-4b48-ab3a-6c0f3e52c05a",335711,,,"""","active","9999-12-31","2025-02-07","true",,16.691,4191353
29,1,,"375 W 5th Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"375",,"5th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210326 476573)","high","parcelPoint","e769696b-d265-40f9-ab52-e9e79165a2b7",100455,,,"""","active","9999-12-31","2025-02-07","true",,95.166,4304648
30,1,,"567 Hornby St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"567",,"Hornby","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209783 478599)","high","parcelPoint","958cbd3b-8085-4225-97f3-f0c7f75810d6",475821,,,"""","active","9999-12-31","2025-02-07","true",,27.274,4437644
31,1,,"838 Hamilton St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"838",,"Hamilton","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209966 477831)","high","parcelPoint","3702c13c-ceaf-4215-b49b-fa0138fb40c1",111369,,,"""","active","9999-12-31","2025-02-07","true",,22.032,3979732
32,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,16.949,
